"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","266,411,973","±17,603","266,411,973","(X)"
"        In labor force","169,093,585","±129,646","63.5%","±0.1"
"            Civilian labor force","167,857,207","±128,031","63.0%","±0.1"
"                Employed","158,913,204","±149,849","59.6%","±0.1"
"                Unemployed","8,944,003","±33,233","3.4%","±0.1"
"            Armed Forces","1,236,378","±8,233","0.5%","±0.1"
"        Not in labor force","97,318,388","±120,651","36.5%","±0.1"
"    Civilian labor force","167,857,207","±128,031","167,857,207","(X)"
"        Unemployment Rate","(X)","(X)","5.3%","±0.1"
"    Females 16 years and over","135,324,736","±11,726","135,324,736","(X)"
"        In labor force","79,321,916","±75,036","58.6%","±0.1"
"            Civilian labor force","79,125,896","±74,967","58.5%","±0.1"
"                Employed","74,955,224","±84,089","55.4%","±0.1"
"    Own children of the householder under 6 years","21,941,598","±19,227","21,941,598","(X)"
"        All parents in family in labor force","14,763,552","±41,447","67.3%","±0.2"
"    Own children of the householder 6 to 17 years","47,465,371","±25,598","47,465,371","(X)"
"        All parents in family in labor force","34,254,226","±57,605","72.2%","±0.1"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","156,703,623","±162,028","156,703,623","(X)"
"        Car, truck, or van -- drove alone","112,314,702","±110,485","71.7%","±0.1"
"        Car, truck, or van -- carpooled","13,388,082","±63,535","8.5%","±0.1"
"        Public transportation (excluding taxicab)","5,945,723","±20,776","3.8%","±0.1"
"        Walked","3,807,792","±16,416","2.4%","±0.1"
"        Other means","2,930,639","±17,714","1.9%","±0.1"
"        Worked from home","18,316,685","±46,431","11.7%","±0.1"
"        Mean travel time to work (minutes)","26.7","±0.1","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","158,913,204","±149,849","158,913,204","(X)"
"        Management, business, science, and arts occupations","65,164,340","±290,671","41.0%","±0.1"
"        Service occupations","26,632,838","±86,490","16.8%","±0.1"
"        Sales and office occupations","32,500,088","±51,369","20.5%","±0.1"
"        Natural resources, construction, and maintenance occupations","13,773,265","±60,372","8.7%","±0.1"
"        Production, transportation, and material moving occupations","20,842,673","±54,210","13.1%","±0.1"
"INDUSTRY","","","",""
